,Lat,Lon,Ispark,Full_name,URL,freq_count2
153,50.6583616,-99.9712948,True,Riding Mountain National Park of Canada,https://www.google.com/maps/place/?q=place_id:ChIJOZd2A4h65lIRk9snPlKGjTs,11
154,49.59388879999999,-57.78388880000001,False,Gros Morne,https://www.google.com/maps/place/?q=place_id:ChIJoZTnx0FbeUsRtDzWbKxLH2U,24
155,54.1521752,-120.1585339,False,Canadian Rockies,https://www.google.com/maps/place/?q=place_id:ChIJcyCVvDdbhVMRHweYrd4_0iE,2
156,50.6823209,-115.1935357,True,Peter Lougheed Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJsbLquIvbcFMRiReVB0RKW3g,3
157,51.335289,-117.5297595,True,Glacier National Park,https://www.google.com/maps/place/?q=place_id:ChIJxWd-JkUIeVMRuQ7amxSgRPA,10
159,49.0257784,-114.1772735,True,Akamina - Kishinena Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJNwN984Zfb1MR-OjuMyaj2HA,1
160,49.0509828,-113.9085675,False,Waterton Park,https://www.google.com/maps/place/?q=place_id:ChIJe97tV8pEb1MRA0TwLfbg0PE,18
162,50.9454757,-115.761753,True,Mount Assiniboine Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJyRvhk4qkcFMRYZ6f893J780,7
164,42.9954129,-82.40484230000001,False,Point Edward,https://www.google.com/maps/place/?q=place_id:ChIJc83kaKKcJYgRDAlblMuOLNg,1
166,53.05000039999999,-118.9999998,True,Mount Robson Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJOxpMBqAWg1MRTfPbRogvNpA,2
170,54.72126549999999,-113.2858262,False,Athabasca,https://www.google.com/maps/place/?q=place_id:ChIJ0zZqBhHXo1MRM5ihZmyYsk8,1
171,48.3693046,-88.804575,True,Sleeping Giant Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJLbDNvtVCWU0RXBwcEk-2leg,1
172,44.50076869999999,-80.2169047,False,Collingwood,https://www.google.com/maps/place/?q=place_id:ChIJ5TpY6tt7KogRIKeLM-hhvtk,1
173,43.0581645,-79.29021329999999,False,Regional Municipality of Niagara,https://www.google.com/maps/place/?q=place_id:ChIJt96TyZ5M04kRliMZDZNGf-8,1
175,50.7596157,-111.4818045,True,Dinosaur Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJRYYmL0-pclMRx75NHoGAHMs,18
176,51.253775,-85.3232139,False,Ontario,https://www.google.com/maps/place/?q=place_id:ChIJrxNRX7IFzkwRCR5iKVZC-HA,31
178,45.8876401,-77.6351387,False,Barron Canyon Trail,https://www.google.com/maps/place/?q=place_id:ChIJDZZJEMnB1kwRVe1_D5JSM2k,1
179,49.6833763,-119.7237705,True,Okanagan Lake Provincial Park South,https://www.google.com/maps/place/?q=place_id:ChIJm3u38CtuglQRhVreEkznfac,1
180,49.6591218,-109.4989904,True,Cypress Hills Interprovincial Park - Saskatchewan,https://www.google.com/maps/place/?q=place_id:ChIJRQNY7EZXE1MRJdfz-qJo6mo,1
194,46.8090468,-71.2142784,False,Parliament Hill,https://www.google.com/maps/place/?q=place_id:ChIJ_z8xGNiVuEwRY-7WSCUGryg,1
196,45.9811228,-81.27238369999999,False,Phillip Edward Island,https://www.google.com/maps/place/?q=place_id:ChIJP4WTRUZ6Lk0RV0idboVnRNg,1
198,43.0895577,-79.0849436,False,Niagara Falls,https://www.google.com/maps/place/?q=place_id:ChIJuU2C7F5E04kRiKK9VmHF0kY,1
200,46.603327,-81.366326,False,Onaping Falls,https://www.google.com/maps/place/?q=place_id:ChIJdxNYLx3JL00RPnF6jTNsMdM,1
201,48.00512,-89.5952987,True,Pigeon River Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJqxfgCqZeWE0RCQRqKZrVA5c,1
206,43.7315479,-79.7624177,False,Brampton,https://www.google.com/maps/place/?q=place_id:ChIJv1rQpeoVK4gRd4bDfGYxLTU,1
209,56.1333333,-130.0666667,False,Salmon Glacier,https://www.google.com/maps/place/?q=place_id:ChIJAXO3rbwqClQRbK1lDGNCf9A,1
217,43.6548046,-79.3883031,False,Downtown Toronto,https://www.google.com/maps/place/?q=place_id:ChIJvRBz0jTL1IkRkwMHIgbSFbo,1
219,48.79193129999999,-125.156359,True,Pacific Rim National Park Reserve,https://www.google.com/maps/place/?q=place_id:ChIJhTSXOx4-iVQRwUoXx5Xv8ic,13
220,45.8982631,-77.2828772,False,Petawawa,https://www.google.com/maps/place/?q=place_id:ChIJ26-6cpPM1kwRGJ1pnTrSyLs,1
221,49.0833333,-113.9166667,True,Waterton Lakes National Park of Canada,https://www.google.com/maps/place/?q=place_id:ChIJv0mRixFDb1MRHFgDVHceYN8,10
223,53.6035106,-115.2868791,False,Yellowhead Highway,https://www.google.com/maps/place/?q=place_id:ChIJMzjK4f4GdlMRnCI5Qy5j3VA,1
224,53.781261,-112.982038,False,Elk Island,https://www.google.com/maps/place/?q=place_id:ChIJX0_Yn7BaoFMRIwnjNo4s3ow,1
226,47.1740891,-71.3677271,True,Parc national de la Jacques-Cartier,https://www.google.com/maps/place/?q=place_id:ChIJjTwVTjapwEwR1qROLoLHDn0,1
234,43.83821270000001,-64.8564889,True,Kejimkujik National Park (Seaside Unit),https://www.google.com/maps/place/?q=place_id:ChIJX6VUPl3bVksRRLiFdPzJGB4,2
240,50.2,-63.50000000000001,False,Mingan Archipelago,https://www.google.com/maps/place/?q=place_id:ChIJWyt9Vjr8hEwR-5wbtrrkDfo,1
241,46.383333,-63.11666700000001,False,North Shore,https://www.google.com/maps/place/?q=place_id:ChIJvdD0Jji0X0sRbse4u_8PNMg,1
248,51.0926042,-118.0422245,True,Mount Revelstoke National Park,https://www.google.com/maps/place/?q=place_id:ChIJyaLFSj48eVMRc4lvx8rhwJ0,1
251,44.435209,-65.213655,True,Kejimkujik National Park and National Historic Site,https://www.google.com/maps/place/?q=place_id:ChIJ86Tdw_oGV0sROLS0f6vC6C4,1
256,52.1703548,-117.0730184,False,Icefields Parkway,https://www.google.com/maps/place/?q=place_id:ChIJURgb-Dj0d1MRHF7Amj9mdyU,3
259,67.36401289999999,-65.99233339999999,True,Auyuittuq National Park,https://www.google.com/maps/place/?q=place_id:ChIJY3Vjo488fE4RT0YdgQj8iK8,1
265,51.28900239648044,-116.8364314410124,False,Kicking Horse River,https://www.google.com/maps/place/?q=place_id:ChIJoflz9XnqeVMRtYV5UCD7GQE,1
267,48.5693141,-88.8349293,False,Trans-Canada Highway,https://www.google.com/maps/place/?q=place_id:ChIJ1fZKIWaV2kwRJ2HAKilDAhA,1
268,52.4682741,-131.5582291,True,Gwaii Haanas National Park Reserve and Haida Heritage Site,https://www.google.com/maps/place/?q=place_id:ChIJg_uzAN4FbFQRaIKfTg-OnOs,2
270,57.79385079999999,-93.2290221,True,Wapusk National Park,https://www.google.com/maps/place/?q=place_id:ChIJg8GT7ObyelIR26fYaqzms5I,1
272,44.8857087,-63.1005273,False,Halifax Regional Municipality,https://www.google.com/maps/place/?q=place_id:ChIJxesm0LsTRUsRW2dKWg1nkM0,1
273,52.1897234,-117.2578206,False,Athabasca Glacier,https://www.google.com/maps/place/?q=place_id:ChIJVaomLeX-d1MRZ9IZJSjcXTw,2
274,47.835957,-69.5359854,False,Rivière-du-Loup,https://www.google.com/maps/place/?q=place_id:ChIJc4H_bFNHvkwRoSiwbUrvHUE,1
277,46.4194986,-63.1011123,True,"Stanhope Beach, Prince Edward Island National Park",https://www.google.com/maps/place/?q=place_id:ChIJrzmwrfy1X0sRPgNMZnWGZVs,1
278,50.2205446,-63.62421629999999,True,Réserve de parc national de l'Archipel-de-Mingan,https://www.google.com/maps/place/?q=place_id:ChIJI-z1FrBYhEwRzQtmig9WV2Q,1
279,48.6666667,-65.83333329999999,False,Gaspé Peninsula,https://www.google.com/maps/place/?q=place_id:ChIJjTmiEtfwmUwR3UkbkGEnJXU,1
280,53.6028795,-112.8637815,True,Elk Island National Park,https://www.google.com/maps/place/?q=place_id:ChIJvz5DI3NooFMRbSqByq7r8CM,1
284,46.62495939999999,-61.0148151,False,Chéticamp,https://www.google.com/maps/place/?q=place_id:ChIJAwptHZgWZ0sRnOtJiYbil9c,1
285,46.741985,-60.881,False,Skyline Trail,https://www.google.com/maps/place/?q=place_id:ChIJ8TBptUMZZ0sRcuujQT7nf8U,1
289,45.9055146,-60.04520909999999,False,Fortress Of Louisbourg,https://www.google.com/maps/place/?q=place_id:ChIJ36T5DVaoQksREHQmn5KUm3E,1
291,66.1465578,-65.7012182,False,Pangnirtung,https://www.google.com/maps/place/?q=place_id:ChIJGXGRrnzJf04RuU5pdocC_p0,1
292,46.749861,-60.59825,False,Cape Breton Highlands,https://www.google.com/maps/place/?q=place_id:ChIJVfaKfxQCZ0sRD3BiBsEzDfg,1
293,64.556251,-138.5183501,True,Tombstone Territorial Park,https://www.google.com/maps/place/?q=place_id:ChIJk-WIJMvjSFERqaWYd4X7dtA,3
304,59.22460509999999,-63.99337480000001,True,Torngat Mountains National Park,https://www.google.com/maps/place/?q=place_id:ChIJtxyScnvgOEwR2z0kWqNPfAo,4
307,49.7855813,-122.988551,False,Elfin Lakes,https://www.google.com/maps/place/?q=place_id:ChIJ_9MqzSv7hlQRBrNBE9pOxJg,1
308,49.7817234,-123.1784759,False,Cheakamus River,https://www.google.com/maps/place/?q=place_id:ChIJmZLSf7j-hlQRgIKwXFfQHKo,1
310,53.2033494,-105.7530705,False,Prince Albert,https://www.google.com/maps/place/?q=place_id:ChIJJd060oUFAVMRJ_41YUScDMM,1
312,51.1236111,-115.5555555,False,Sulphur Mountain,https://www.google.com/maps/place/?q=place_id:ChIJVfRPcgPKcFMRorFtQJMXJRk,1
313,51.26406859999999,-115.3745674,False,Lake Minnewanka,https://www.google.com/maps/place/?q=place_id:ChIJzf76jpTScFMRxn5ES4dIhWQ,1
314,50.6200385,-116.0733586,False,Radium Hot Springs,https://www.google.com/maps/place/?q=place_id:ChIJH5Vz0iRvelMRX-iZhLupIYQ,1
316,49.6061343,-114.520425,False,Crowsnest Pass,https://www.google.com/maps/place/?q=place_id:ChIJoUKEmNCOb1MRbJbIkXwsxOU,1
320,50.1593156,-122.8139302,False,Wedgemount Lake,https://www.google.com/maps/place/?q=place_id:ChIJnecf1AEwh1QRKLhMtW_anQg,1
324,65.4215054,-70.9654211,False,Baffin Island,https://www.google.com/maps/place/?q=place_id:ChIJ4RWTZUsGG04RYPXj-rrAMjc,1
